a 阿锕嗄啊吖錒腌呵
beng 祊蹦痭閍甭搒琫蚌嘣綳絣绷奟镚錋甏崩挷泵塴繃鏰埲熢跰琣伻迸鞛逬菶嗙嵭傰埄傡
bi 煏鄙婢彼鞸笓萆箃痹梐鉍毕駜紕娝鐴咇襣诐庳鮩鶝魓貱袐朼韠匕枈箅踾屄毴胇庇獘臂荜妣璧秕楅箆繴肶逼貏贲碧柲閟滗愊箄閇綼啚鏎裨币髀嬖畁聛鸊躃舭闬秘弼濞稫縪壀蓽粃腷柀驆蔽闭毙篳彃翍饆罼鞞蓖哔狴鵖疕佖鷝熚幣皕襅辟湢廦鄪躄馝豍匂薜畢弻贔錍泌鴔夶鲾蹕邲鄨鈚苾藣比筆禆獙粊跸偪鎞髲潷壁毖妼荸铋俾坒旇鴓萞幤篦詖罷鮅吡鰏珌觱赑紴腗鼻鼊怶賁椑怭敝拂閈必避茀悂畀閉魮堛疪滭鷩襞飶愎奰陛佊嬶祕皀崥螕蜌筚沘弊斃肸嗶畐笔
bian 峅徧煸抃覵蝙辧稨笾籩豍鞭鯿汳牑獱貶变邲鴘褊贬匾疺玣糄邉砭艑覍鍽閞箯編釆臱扁编汴頨諞惼碥辩辫鯾弁鳊窆辡辨遍鶣変猵變邊便忭苄昪边緶匥辯炞甂揙拚藊卞萹缏辮
biao 滮婊篻淲脿表飙裱墂瘭骠熛徱飇摽膘飆飈髟标臕瀌杓幖爂謤鏢鑣颩儦檦錶藨僄鳔飊贆褾镖彪標飚驃猋穮諘颮颷俵膔骉麃蔈磦驫鰾灬飑镳
bie 襒虌别癟蛂穪徶瘪鱉鼈憋別咇蟞蹩鳖彆柲苾龞莂
bin 傧缤宾滨濵髩訜殡濱氞豩鬓汃濒鬢膑檳砏賔邠彬殯玢繽摈虨蠙斌豳擯份瑸稟髕賓髌鬂瀕頻鑌镔霦椕顮璸臏儐槟
bing 竝鉼燷摒棅昞栤氷偋柄苪鈵鞸屏幷評梹併垪餅饼病絣鮩秉仌鞆鋲冫寎炳邴眪掤庰并抦稟窉怲癛昺琕跰倂綆陃誁餠兵屛禀鞞丙塀靐癝栟傡蛃冰並槟
bo 哱檗剥博駁彴胉鉢鈸簸發啵箥懪蹳伯僠舶碆蔔瓝蚾癶钵愽鮁鹁礴皪魄鱍播煿謈譒糪桲鵓嶓帛駮渤壆盋猼犻嚗柏秡餑袹簙缽卜玻挬镈湐鑮饽葧踣磻襎孹钹蔢茷驋仢袚妭拨脖浡鉑驳殕礡欂襏膊鋍餺跂箔撥馎馛艊豰榑波泊髆搏菠勃鮊襮牔狛鎛紴肑犦薄詙孛擘淿铂茀帗袯侼髉跛郣馞亳瓟鲌僰穛蘗苩噃檘
bu 鈈布步瓿勏抪撲晡鳪埔轐尃簿钚埠箁部誧咘佈卟捕捗擈逋庯郶秿蔀獛歩埗鯆堡廍篰踄鈽吥怖婄餔悑鵏陠补哺鸔钸卜柨餢荹峬不輹醭補歨
ba 吧巴罢
ca 擦礤雜傪拆囃礸遪攃嚓
cai 纔采財揌棌彩婇啋縩猜才寀倸採踩戝蔡綵跴偲菜财材埰裁睬
can 嘇蠺粲喰黲謲湌黪參慚残傪叅蠶惭殘飱澯惨璨薒蝅鏒飡餐爘噆橬驂嬠孱蹔嬱骖慘戔厽儳嵾囋灿燦憯蚕慙穇参儏
cang 欌濸傖滄倉嵢獊篬罉舱艙蒼賶藏沧凔鶬伧螥仓鑶瑲玱蔵苍
cao 屮襙慒慅糙鐰肏褿撡草螬愺艸艹曹鄵鏪嶆蓸騲嘈槽懆曺漕傮艚操慥
ce 萴厕憡拺惻廁恻冊测測箣粣侧册矠墄笧齰蓛側策荝幘筴簎厠敇筞萗柵嫧
cen 汵膥梣涔穇笒岑硶参參嵾
ceng 鄫层嶒驓蹭噌曾層曽竲橧繒
cha 搽摖侘插姹汊差荖疀秅褨揷肞擑靫剎岔查釵嵖檫柤銟猹奼鎈偛镲诧鍤詧嚓鑔鉏锸茬察垞扱碴紁訍蹅詫衩臿芆馇仛挿楂叉櫒嗏喳槎茶捈刹査扠杈艖
chai 侪虿拆扠钗齜豺瘥犲儕柴靫袃蠆釵茝祡囆喍蔕差
chan 瀺嵼馋讇禅纏旵产煘酁镵産簅僝榐襢谗鄽婵摲誗讒蹍梴醦鋋鑱嬋搀廛冁單艬欃鋓韂颤嶄襜刬辿讖阐囅啴饞窴諂裧亶漸潺滻緾脠蕆纒丳攛緂缠幨懴燀巉摌壥剗躔鉆铲谄羼嚵嶃蟺襝蟬閳撣硟摻禪繟潹灛攙蒇儃產幝磛蟾掺澶挻闡覘僤橬獑孱顫毚譂繵鏟劖儳剷瀍单棎湹墠嘽浐蝉袩懺觇憚忏
chang 僘氅瓺偿畅尙償鯧娼焻畼椙敞唱伥猖瑒晿徜倀鲳肠裮惝戃瑺长鋿厂蟐塲悵棖苌韔膓鏛淐仧鼚萇昌菖閶廠尝昶常暢兏錩誯嘗甞嫦嚐场玚鋹裳鱨倡怅闛場锠腸鬯脹鲿長阊倘琩
chao 罺謅麨仦漅耖吵樔潮眧超焯繛鄛濤晁縐怊訬剿弨巣抄牊煼趫焣劋楢嘲觘紹炒窲綽朝轈绰钞勦巢趠嘮欩巐粆鼂綤鈔仯
che 呫尺迠聅勶撤頙喢俥撦莗蛼屮焎烲詀偖坼硩徹车澈扯瞮砗彻車烢硨奓唓爡掣
chen 琛迧偁煁齓棽櫬蔯沈肜醦侲趂儭趁硶塵縝磣麎贂讖沉闖樄辰敶齔伧螴訦軙陳墋瀋衬襯賝闯茞臣称跈愖疢踸鈂抻陈謲谶榇谌瞋綝晨夦碜瘎諃霃忱嚫桭橬揨謓鷐稱龀郴尘諶嗔薼藽鍖莐曟趻烥敐宸棧
cheng 橕偁裎阷铛騁畻竀矃檉撜撐摚敒鎗倀程乗骋騬穪泟挰爯絾铖塖珵棖浧瞠懲蛏惩掁盛秤瑲靗牚赬城宬徎棦称椉瀓饓逞鏿浾鋮呈撑槍筬誠塍琤悜淨侱嗆鐺丞脭酲窚鯎成峸柽緽乘溗踜蹚瀞埕娍睈澄郕鏳庱承稱赪珹檙蟶憆堘洆浄頳橙枨荿诚碀玱虰埩憕
chi 熾訵荎癡誀饬邌箎餝鴟紕炽翨遟弛袳嘯蚩鵣胣痓柅妛彨齿驰胵吃跅扡噭曬歯哧摛灻迟叱鷘呎魑彲抶鵄蚇啻姼蝬踟持飭佁脪湁趍恜篪痸歗勅瞝漼郗鉹遫饎齝鳷馳軧遲泜倁迡鶗齣趐傺忯摴菭恎徲豉媸呬箈袲螭謘歭匙糦筂褫蚳淔憏坻銐耻尺痴垑沶雴耛瓻慗笞鶙瘛翤栻濕敕茌懘瘈鶒卙蝭絺紣遅麶侙斥潟捇蚔迣誃裭跢叺奓踶攡侈謻汖坘赿恀離嗤飾赤噄跮齒趩翄貾蚸鸱墀岻拕竾池肔翅眵喫拸樆卶鉓欼黐誺彳恥烾杘粚腟鍉
chong 寵崈种蟲充珫浺憧漴铳蝩忡種摏傭罿舂蹖揰憃褈艟宠徸嘃蹱衝隀痋重茺沖橦樁銃埫冲翀爞崇喠偅緟虫
chou 儔譸遚魗謅鯈讎踌眣殠裯醻杻疇紬婤簉瘳掫吜擣醔犫臭绸雠筹幬懤矁畴檮愁讐燽嚋稠臰皗籌憱鮋酬抽侴牰絒犨鲉跾俦菗仇鈕棷帱搊綢瞅篘醜丒惆栦丑椆薵酧雔怞杽嬦躊
chu 蒢出初斶埱怵敊锄芻俶觕触処傗處畜滀豠嘔櫉濋炪储櫥躇鯺处璴鉏幮儲諸拀嘼蒭臅觸豖檚杵儊樗諔摢鋤绌禇蹰橱矗藸貙媰齼悇礎搐鶵鄐除慉滁齭楚雛竌蜍踰躕閦竐蟵踀椘齣橻岀黜菆趎刍摴亍詘歜楮欋櫖廚珿耡篨絀厨础褚雏憷跦犓懨琡
chua 欻歘
chuai 啜膗搋腄踹嘬欼揣
chuan 賗舛暷團穿歂川堾荈踳喘巛汌遄釧传串猭篅椽氚膞舡钏舩僢剶椯甎玔傳瑏輲船圌
chuang 剏窻怆噇刅疮窓傸刱橦漴闖窗牀幢剙床愴牕囱朣牎仺摐磢闯创瘡漺創
chui 捶腄倕桘垂锤顀錘湷吹搥郵鎚槌鬌箠龡硾陲菙椎惙炊棰圌
chun 萅醇淳蒓滣莼鶞犉杶脗萶蠢睶踳脣槆輇媋箺賰鹑橁醕浱純惇瑃旾惷春偆唇楯膞陙暙鯙漘輴蝽櫄纯忳蓴芚鶉錞鰆椿
chuo 叕拺輟酫嚽磭鑡踔畷婼辵鋜逴錣擉鏃娖啜涰惙齱孎婥跿辍齪辶綽戳歠绰吷趠娕綴腏
ci 螆雌磁懠莿縒薺萕瓷佽垐皉厠朿堲訿珁鮆辞茲糍姕茈茨髊骴刺疵甆偨薋此庛茦赼鷀嬨啙刾词秶祠齹伺餈栨次趀差蛓栜絘礠佌胔賜詞鈶辭蠀蟌赐慈嵳柌濨辝鴜呲鹚兹飺呰辤枱玼鶿跐
cong 樅漎棇孮爜苁鏦琮灇驄怱潀騘憁総聰聪囪从賩囱徖樬潨漗欉燪蟌婃暰聡茐謥傯從瑽叢賨楤淙樷緫總繱菆焧悰蓯悤葱篵誴骢聦藂熜瞛蔥匆従璁枞忩丛
cou 辏輳湊棷楱腠娵藪趨凑
cu 憱促瘄踤踧誎瘯媨蹙捽噈蔖麁猝娖酢縐卆蹴簇踀麄錯鼀縬趋蔍趗卒殂趨蹵蔟麆踓粗顣麤醋徂脨趥
cuan 窾镩櫕襸鑹蹿撺窜巑灒簒攢欑躥篹攛殩攒鋑篡爨汆攅穳熶竄
cui 嶉淬磪縗崒疩踤衰倅槯竁誶瘁漼琗趡墔慛榱粋脆膬催焠摧綷萃毳鏙翠缞襊崔脃粹濢臎啛椊膵悴脺凗獕忰璀皠啐繀顇崪熣翆
cun 澊刌吋蹲洊竴侟籿存村皴踆忖寸邨拵
cuo 澨撮剉睉縒挫虘搓错痤酇瘥蓌矬銼莡棤脞逪諎襊錯锉嵳瑳髊厝夎嵯剒措蹉龊莝酂鹾蒫磋醝遳躦鄼玼鹺
da 咑躂鎝鎉汏搭繨沓溚怛畗眔搨達笪垯詚薘亣笚哒蟽达匒燵呾褡荅龘畣撘觰炟矺墶剳打噠跶迏羍毼荙龖大瘩迖鞑韃逹嗒鐽橽耷妲靼答
dai 叇黱曃獃埭紿箉軩带柋蚮貸戴怠垈袋蹛嘚迨蔕玳帶緿艜靆詒帯軚绐呆殆侢鮘岱簤載廗逮霴軑待駘襶螮大贷懛傣歹鴏甙轪跢蝳代黛呔帒瑇瀻
dan 丹郸欿娊黵撢妉醈癉憚沊伔箪石聸担訑膽倓紞蜑疸饏黮灗贉狚瓭皽蹛儋耽呾馾聃單賧襜霮刐弹媅啴啗匰亶憺腅鴠暺瘅燀诞駳壇淡眈帎抌愖癚禫褝蛋酖丼耼噉嘾蟺但撣甔氮弾彈窞頕啖柦儃疍掸萏衴砃旦澶襌餤誕覘僤髧鄲唌鸩澹擔胆譂嚪玬繵殫单觛黕躭惔噡啿澸殚嘽惮単泹簞勯
dang 簜珰當垱嵣氹圵裆襠潒璗譡檔蕩铛蘯瞊鐺攩婸崵艡噹党档澢瑒礑灙儅瘍筜黨宕蟷壋燙盪瓽擋璫荡場讜雼当欓凼碭偒趤愓闣逿挡菪簹谠砀嬞
dao 儔刂嘄焘倒檤瓙刀悼稲叨島忉裯道醻舠宲軇捣椡蹈稻嶹陦屶禱導釖嶋隝禂擣导盗捯到祷衜帱槝嶌盜翿壔魛噵朷氘菿幬懤衟虭鱽岛檮隯絩翢纛搗箌
de 德徳惪锝的嘚得恴悳淂鍀地棏底
dei 得
deng 灯璒豋镫澄噔磴櫈鄧蹬邓鐙艠墱等登竳凳戥燈覴澂僜簦隥嬁瞪嶝憕
di 楴厎嵽梊的籴珶邸豴底诋腣拞蔋逓菧覿摕奃帶櫂蹏笛眱觌弤藡狄禘茋嫡羝谛揥鍉鞮骶提彽碲慸埞埊抵睇菂觝苖篴弔呧樀敌荻釱低帝軧泜棣墆扚滴詆掋第柢堤枤嘀忯弚墑蔐阺廸氐螮儥哋締敵糴啲蓧梑甋坻弟牴焍仢髢鸐地翟靮迪媂涤遞仾鏑蹢坔蝃婥諟碮袛蒂砥偙苐趆隄僀踶聜赿坘鉪娣镝馰踧墬遰疐鬄俤埅缔蔕鯳杕頔藋递諦怟渧玓啇旳嶳唙嚁祶魡滌磾
dia 嗲
dian 婰磹扂腍嵮澱殿巅瘨唸掂点橂踮钿琔簟槙厧墊橝惦顛窴痶敁畇蹎阽攧癫典电垫碘淀顚婝壂巓拈涎齻蒧敟佃頕奠癲巔店颠坫詀玷奌靛傎椣癜驔甸佔鈿蕇滇電點蜔槇
diao 貂誂鲷瞗調屌釣叼汈鸼窎雕吊弔弴錭矵婤窵淍鈟颩鑃鯛嬥彫軺扚蛁銚鋽凋钓綢銱藋调铞琱訋刟鮉碉鵰鵃伄鳭鼦掉簓殦趙椆瘹雿刁奝蓧絩魡竨滌
die 褺艓嵽詄臷戜揲疊眣耋諜鮙蹛叠迭咥胅摕鲽怢耊挃鐡疂柣爹喋蝶绖趃渉镻峌跮跕鰈啑曡苵泆氎瓞眰絰挕垤牒鰨昳疉谍幉恎跌殜褋蜨牃軼崼槢惵螲堞畳碟哋姪鐵蹀
ding 耵订顁饤忊酊玎顶甼盯艼矴锭疔啶腚帄鐤奵椗叮掟萣碠錠町碇蝊丁濎钉磸訂檙聢鼎定嵿薡鋌靪飣頂仃鼑虰釘
diu 铥颩丟銩丢
dong 娻洞鮗苳侗詷鶫凍氡东衕姛揰狫蝀动董騆湩東箽鶇鼕動岽勭徚棟涷崬戙冬墥倲挏迵諌絧菄冻腖烔胴恫垌胨蕫駧峝働鸫崠笗咚沖狪懂埬硐栋昸鯟峒霘嬞燑氭
dou 荳鬭枓都瞗脰橷窦鋀阧豆瀆兠逗毭乧陡蚪侸閗抖兜郖吺钭鬪餖鬥痘酘竇梪艔剅唗凟闘鈄饾鬦斗鬬读斣篼蔸浢
du 独螙渎牍瀆頓渡襩蠧督暏瓄錖靯鍍秺堵妬嬻鑟度妒荰豄黩厾韥塗襡鍺韇杜涜睪读笃蝳贕晵陼剫匵牘都醏赌嘟犊椟犢剢噣帾樚覩顿讟殰奼阇髑睹竇裻毒騳讀皾読韣詫櫝殬肚镀闍獨篤黷賭儥歝琽芏蠹笁
duan 篅簖锻端剬碫葮褍段偳瑖椴短煆煅媏缎躖緞断专塅斷毈籪腶鍛鍴
dui 銳隊埻镦杸塠憝濧譈懟譵兑陮鐓濻頧鈗怼兊対鐜鋭鴭堆队祋垖兌敦痽對薱憞搥鎚謉綐啍嵟錞磓对膭瀩碓
dun 盾砘噸蜳扽鈍犜镦撉吨潡頓盹炖钝燉庉沌驐顿坉墪碷蹲惇敦橔踆礅楯憞扥趸撴遁躉踲墩忳逇鶉腞墫蹾腯囤伅遯獤鐓
duo 挆缍堕貀嫷铎剁茤夛橢跺刴吋隓袳跥躲垜桗憜垛挅埵柂度沰媠扡跿踱駄詑嚉驮惰喥崜敠鈬鍺綞鵽硾飿誃跢墮掇軃敪趓奲尮敚剟陊多凙鐸痥裰沲亸嶞咄鬌墯柮饳鮵夺朶朵毲鄲馱哚陏舵哆仛奪椯柁嚲點憚敓
da 瘩
e 堮齾愕砵頞磀湂魥敋閜卾涐亜砨餓鵞佮鰐鴳蘁詻屙軶峨鄂騀鶚鹗噁娥砈崿吪砐噩莪呝囐搤痷蝁餩轭鍔礘豟鋨搹鱷偔譌鳄鹅歺额呃皒阏玀蚅鰪迗埡遏壒臥蛾珴匼咢額魤阨惡歞阿妿苊啈啞濕俄訛悪琧遌欸腭戹囮恶阸妸櫮蕚軛讹搕峩齃堊婀扼遻擜鵈垩蒍娿諤咹谔僫鵝鈋岋廅輵萼厄姶颚饿盫顎鑩齶哦暍硆匎睋誐頟锇讍锷屵峉覨唖疴
ei 诶誒
en 奀峎恩摁饐煾蒽
eng 鞥
er 洱輭隭誀衈栮峏侕鉺貮刵輀尓聏陑鮞鸸贰耳鲕杒粫胹轜邇饵兒趰荋洏陾唲髶咡樲薾児腝二栭耏駬髵儿貳鴯檽毦弐迩铒佴嬭弍尔珥爾袻臑而妳尒餌
fa 法阀琺伐汎茷罚発珐灋橃彂罸栰姂罰蕟發醱貶乏閥疺藅沷笩垡鍅傠撥砝髮瞂醗髪酦发筏佱
fan 颿梵蹯滼舤伋忛沨軓舧渢鷭婏払笵嬔帆蕃旙泛訉贩鐇楓凢饭橎番範翻瀪飯奿犯藩杋籓販璠凣汎仮釩钒繁轓飜蠜飰烦矾氾繙辺畈煩羳反笲嬎幡返柉旛犿鱕軬樊膰緐憣墦匥舩凡蘩勫盕嬏棥范瀿薠噃燔籵襎礬
fang 芳祊方倣坊旊防房鴋舫紡鶭錺眆纺汸蚄鰟埅昘鲂邡钫枋眪趽髣肪仿牥瓬放匚妨彷鈁昉訪淓雱堏魴访鳑
fei 废费蟦匪扉菲廃疿诽鐨濷廢篚沸婔镄翡柹啡吠淝騛靟斐襏婓非绯鼥飛胇朏奜腓飝萉榧餥紼騑霏悱癈痱肥鲱肺橨誹妃蜰櫠剕渄蕡賁鯡橃蜚胐狒蕟杮髴茀費緋鼣棐巿陫暃靅芾蕜昲飞胏俷屝墢裶曊馡笰猆厞
fen 分弅蚠奋翂酚幩隫昐奮瀵鹖偾魵炃黂粉躮饙粪氛朌衯坟濆瞓棻頒份梤鼖纷忿燌竕膹岎帉汾吩妢歕雰糞葐蒶鲼羒鶡秎憤棼黺橨訜獖燓蕡賁兝錀鈖鳻芬羵轒馚豶枌玢敃焚鼢紛餴墳鱝蚡坆愤拚僨豮鐼坋朆馩
feng 酆賵肨諷唪妦鳯沨葑枫焨冯豐崶渢瘋浲鳳湗靊縫凬缝舽凮讽篈艂鄷楓綘蜂熢犎堸飌溄盽鴌沣煈鋒麷摓夆赗逢猦琒灃豊碸凤偑奉莑覂风捀蘴峰馮仹封桻丰漨峯鵬蠭鎽烽風甮锋凨炐疯砜埄檒蘕鏠俸寷僼
fo 坲梻刜仏佛
fou 紑缶缻衃垺鴀缹枹雬否炰芣
fu 阝幅馥拊苻鉘辅父弗姇酜鍢鈇綒紱付福糐娐玞綍覄秿偩捊俌軵盙焤虙媍孚负鮒麩彿筟踾罘罦鳺府豧沕芣胕楅垺衭茯复祔粰輹趺峊袱泭竎绋赙荴賦褔砩癁凫呋富柫傅鳧澓髴鮄訃妋邞韍鮲蚥紨冹鰒桴伏弣璷簠酻俯襆鍑滏辐鵩賻捬哹邚阜腐汱復腹甫艴俘笰服荂刜縛負麱緮垘萯婦颫冨袚釜缚斧蜉葍附鴔肤錇玸鳆氟鉜琈覆禣抙嬔洑岪敷怤畉裦諨郙袝偪绂赴跗坿麬鳬腑釡蚹輔萉蓲榑紼韨蝜暊絥蕧鲋箙鬴颰椱撫艀符怫脯黻佛膚甶稪伕赋郛蝮畗莩尃蛗砆孵扶讣陚頫拂俛炥黼枹茀妇帗棴稃蚨乪祓芙抚旉輻鄜韛匐嬎巿椨詂菔驸柎芾嘸副夫蜅麸栿翇咐幞呒蝠涪浮懯複駙郍枎襥費烰咈
fuo 躱
ga 钆魀玍伽夾轧夹軋錷尜咖釓尕嘎尬旮噶
gai 赅垓钙匄陔祴槩豥峐頦葢絯蓋戤晐概荄鎅忋摡該乢丐賅盖絠匃槪賌溉磑改畡鈣侅芥该郂漑隑姟瓂
gan 漧扞凎干玕皯衦鳱仠倝旰忓敢澉笴疳佄汵詌芉迀尷錎攼泔扜粓尶乾紺鳡贑桿甘坩擀諴趕橄感肝尴筸虷杆稈豃咁盰鰔魐淦玵釬矸飦尲鱤榦赶绀灨贛骭秆浛柑凲乹亁幹赣酐篢竿苷簳檊
gang 岗冮槓肛刚罁牨罓鋼钢棡戇剛崗纲堽釭疘戆焵戅杠港筻岡掆罡頏綱鎠犅扛阬冈犺矼摃堈缸溝
gao 高餻膏髙杲吿搞櫜滜缟诰誥鎬稿祮羔鋯稾暠稁皐橋鷱槀臯菒镐槁縞誋峼獔勂澔篙锆槹郜槔糕韟橰皋鷎祰筶藁睪獋鼛夰晧藳檺睾告禞
ge 虼歌杚鎶袼颌敋蛤鞷渮咯臈槅閤箇戓戨佫猲骼鲄觡合鉿哥擖格鬲嗝舸挌鵅櫊仡騔鮥匌铬滒革阁犵鮯膈割葛彁頜各臵纥轕吤鉻鴿疙秴塥輵鞈圪搿敆蓋謌鴚镉蛒胳韚牱鎘呄搹嘅个韐盖閣鸽裓隔獦擱愅澔諽個閘搁牫硌滆詥紇鰪哿戈鎑茖魺扢肐鴐
gei 给給
gen 哏揯茛跟詪根亘搄亙艮
geng 恆暅鯁颈頚羹焿絚刯掶縆哽賡浭骾鹒耕菮郉莄堩緪挭畊椩耿绠赓庚更埂鲠郠峺梗鶊絙
gong 红宮塨宫龔匑愩蚣功拱糼匔幊龚觥紅鞏巩羾銾訌魟公渱杛肱慐觵髸躳贡供碽廾貢汞拲共躬弓攻栱珙工熕恭輁嗊厷篢唝
gou 撀覯彀構勾鞲玽觏狗钩蚼购褠抅够鈎豿詬鮈鴝耉袧鉤耇茩佝姤缑媾芶韝泃坸訽雊鸜冓诟苟夠搆軥枸緱垢笱豰煹購沟耈句篝构簼傋遘岣溝
gu 硲故滑鯝杚骨臌钴淈痼瞽毂股稒顧尳诂姑崮瀔皷贾古唃榾詁鈲笟逧蛄箛锢牿沽菇焸穀糓蓇蛊咕鼓呱鸪濲鴣嗀雇孤牯轱羖錮抇固橭鹄盬賈鲴鮕啒梏傦構祻蛌嗗篐罟峠菰蚼罛唂柧鶻餶頋鹘汩軱苽凅辜榖鈷轂嫴脵棝馉縎薣嘏沠怘鼔顾夃僱酤軲蠱估觚愲谷崓扢箍泒堌
gua 罣銛踻絓褂卦咼咶趏焻詿罫鸹胍瓜刮铦歄鴰诖劀剐坬掛諣叧銽擖括捖寡啩緺呱挂剮颳煱騧颪
guai 罫拐乖枴箉怪叏噲夬柺恠
guan 矔萖癏輨淉官悺瘝卝關櫬観鸛讙矝矜淪鏆綸錧筦鰥躀琯管冠盥罐懽閞慣泴爟惯闗関權礶婠樌覌摜馆窤棺蒄倌鳏莞丱雚鵍悹鑵鳤掼館纶关涫鹳觀祼观罆幹汱瓘潅毌痯貫鱹贯鱞舘灌遦
guang 俇珖炚洸炛僙挄咣欟銧輄垙侊広臦廣黆姯犷獷趪炗撗光胱晄广灮桄臩櫎烡硄擴茪逛
guaug 桄
gui 嫢蟩厬攰繪蛫桧刿劊恑湀絵癸宄鞼皈嬀禬胿瓌鮭蘬垝瑰鴃規庪匮藱雟撌槻鱥昋觤劌蟡鳺匭軌櫃筀龟猤归陒戣规襘诡窐鴂樻趹壘桂圭膭瞡蓕轨簋槶瞆詭槣閨鲑巂櫷璝瞶茥螝椢鱖檜椝敮騩偽廆藈嶡簂袿闺刽媯攱珪鬼硅朹跪癐鬶龜溎嶲匦帰慖邽氿鳜暩槼炅決祪赽鬹亀櫰摫謉庋贵晷歸佹妫柜貴訣郌
gun 袞睔棍鰥滾璭裷錕緷謴琯辊绲蓘蔉惃輥鲧衮棞睴緄丨磙鯀鮌滚
guo 餜埻淉姡咼敋埚腂粿渦鈛锅惈涡矌國蝈椁囯啯墎鐹馃槨聒帼彉綶膕褁幗摑過裹楇郭猓漍囗蔮蜾彍嘓咶簂国錁鍋虢囻蟈輠叧腘果慖呙菓濄掴崞瘑过堝囶聝圀馘
ha 铪鉿妎哈蛤奤蝦虾
hai 塰胲駭餀酼嚡拸骇駴嗐害饚孩亥酭儗咍醢海还頦烸絯骸侅還妎咳猲氦嗨
han 馠鈐扞傼澣熯鋎鳱仠暵崡颔憾晗譀韓蛿琀魽罕梒娢筨忓顸撖含撼灘佄汵涵韩焊攼喊犴螒糮頇雗凾椷阚晥垾捍軒鶾歛桿菡涆爳屽頜蚶漢闞蜬嚂睅鼾旱餫澏浫皔虷寒蜭闬咁汉釬閈馯瀚甝顄榦翰蔊谽憨淊邯銲嫨笒晘邗焓肣欦頷哻鬫悍莟唅幹駻函嵅酣顩圅汗浛猂厈鋡
hang 行绗沆頏吭垳妔蚢邟航巷笐苀颃筕杭瓨貥迒夯斻魧忼絎
hanqian 馯
hao 顥暤椃鎒哠嗥淏滈皓好虠薃鰝灏呺昊镐蒿獔郝翯皜獆晧蚝薅昦貉皞聕鎬恏噑号儫浩譹濠暠曍秏薧諕嚆悎藃籇蠔豪茠澔鄗颢嚎皥竓毫暭耗壕嘷灝號膠傐皡
